,few_shot_examples,question,pred_answer,gold_answers
0,"who won a million on deal or no deal
Answer: Tomorrow Rodriguez

who is the woman washing the car in cool hand luke
Answer: Joy Harmon

who is the actor that plays ragnar on vikings
Answer: Travis Fimmel

who said it's better to have loved and lost
Answer: Alfred , Lord Tennyson

name the first indian woman to be crowned as miss world
Answer: Reita Faria

malcolm in the middle what's their last name
Answer: Wilkerson

when was dont ask dont tell policy created
Answer: February 28 , 1994

who wrote the book are you my mother
Answer: P.D. Eastman

who played nicole in law and order criminal intent
Answer: Olivia Jane d'Abo

who was in the original going in style
Answer: Lee Strasberg

who discovered the most elements on the periodic table
Answer: Albert Ghiorso

who is the current attorney general of ghana
Answer: Miss Gloria Akuffo

when is god of war going to be released
Answer: early 2018

when was in god we trust added to coins
Answer: 1864

where is the goonies supposed to be set
Answer: Astoria , Oregon

alkylating agents such as ethyl methanesulfonate (ems) function as mutagens to
Answer: genetics

",who got the first nobel prize in physics, Wilhelm Conrad Röntgen,['Wilhelm Conrad Röntgen']
1,"who won a million on deal or no deal
Answer: Tomorrow Rodriguez

who is the woman washing the car in cool hand luke
Answer: Joy Harmon

who is the actor that plays ragnar on vikings
Answer: Travis Fimmel

who said it's better to have loved and lost
Answer: Alfred , Lord Tennyson

name the first indian woman to be crowned as miss world
Answer: Reita Faria

malcolm in the middle what's their last name
Answer: Wilkerson

when was dont ask dont tell policy created
Answer: February 28 , 1994

who wrote the book are you my mother
Answer: P.D. Eastman

who played nicole in law and order criminal intent
Answer: Olivia Jane d'Abo

who was in the original going in style
Answer: Lee Strasberg

who discovered the most elements on the periodic table
Answer: Albert Ghiorso

who is the current attorney general of ghana
Answer: Miss Gloria Akuffo

when is god of war going to be released
Answer: early 2018

when was in god we trust added to coins
Answer: 1864

where is the goonies supposed to be set
Answer: Astoria , Oregon

alkylating agents such as ethyl methanesulfonate (ems) function as mutagens to
Answer: genetics

",when is the next deadpool movie being released," February 16, 2018","['May 18 , 2018']"
2,"who won a million on deal or no deal
Answer: Tomorrow Rodriguez

who is the woman washing the car in cool hand luke
Answer: Joy Harmon

who is the actor that plays ragnar on vikings
Answer: Travis Fimmel

who said it's better to have loved and lost
Answer: Alfred , Lord Tennyson

name the first indian woman to be crowned as miss world
Answer: Reita Faria

malcolm in the middle what's their last name
Answer: Wilkerson

when was dont ask dont tell policy created
Answer: February 28 , 1994

who wrote the book are you my mother
Answer: P.D. Eastman

who played nicole in law and order criminal intent
Answer: Olivia Jane d'Abo

who was in the original going in style
Answer: Lee Strasberg

who discovered the most elements on the periodic table
Answer: Albert Ghiorso

who is the current attorney general of ghana
Answer: Miss Gloria Akuffo

when is god of war going to be released
Answer: early 2018

when was in god we trust added to coins
Answer: 1864

where is the goonies supposed to be set
Answer: Astoria , Oregon

alkylating agents such as ethyl methanesulfonate (ems) function as mutagens to
Answer: genetics

",which mode is used for short wave broadcast service, AM,"['Olivia', 'MFSK']"
3,"who won a million on deal or no deal
Answer: Tomorrow Rodriguez

who is the woman washing the car in cool hand luke
Answer: Joy Harmon

who is the actor that plays ragnar on vikings
Answer: Travis Fimmel

who said it's better to have loved and lost
Answer: Alfred , Lord Tennyson

name the first indian woman to be crowned as miss world
Answer: Reita Faria

malcolm in the middle what's their last name
Answer: Wilkerson

when was dont ask dont tell policy created
Answer: February 28 , 1994

who wrote the book are you my mother
Answer: P.D. Eastman

who played nicole in law and order criminal intent
Answer: Olivia Jane d'Abo

who was in the original going in style
Answer: Lee Strasberg

who discovered the most elements on the periodic table
Answer: Albert Ghiorso

who is the current attorney general of ghana
Answer: Miss Gloria Akuffo

when is god of war going to be released
Answer: early 2018

when was in god we trust added to coins
Answer: 1864

where is the goonies supposed to be set
Answer: Astoria , Oregon

alkylating agents such as ethyl methanesulfonate (ems) function as mutagens to
Answer: genetics

",the south west wind blows across nigeria between, the Atlantic Ocean,['till September']
4,"who won a million on deal or no deal
Answer: Tomorrow Rodriguez

who is the woman washing the car in cool hand luke
Answer: Joy Harmon

who is the actor that plays ragnar on vikings
Answer: Travis Fimmel

who said it's better to have loved and lost
Answer: Alfred , Lord Tennyson

name the first indian woman to be crowned as miss world
Answer: Reita Faria

malcolm in the middle what's their last name
Answer: Wilkerson

when was dont ask dont tell policy created
Answer: February 28 , 1994

who wrote the book are you my mother
Answer: P.D. Eastman

who played nicole in law and order criminal intent
Answer: Olivia Jane d'Abo

who was in the original going in style
Answer: Lee Strasberg

who discovered the most elements on the periodic table
Answer: Albert Ghiorso

who is the current attorney general of ghana
Answer: Miss Gloria Akuffo

when is god of war going to be released
Answer: early 2018

when was in god we trust added to coins
Answer: 1864

where is the goonies supposed to be set
Answer: Astoria , Oregon

alkylating agents such as ethyl methanesulfonate (ems) function as mutagens to
Answer: genetics

",what does hp mean in war and order, High-Power,['hit points or health points']
5,"who won a million on deal or no deal
Answer: Tomorrow Rodriguez

who is the woman washing the car in cool hand luke
Answer: Joy Harmon

who is the actor that plays ragnar on vikings
Answer: Travis Fimmel

who said it's better to have loved and lost
Answer: Alfred , Lord Tennyson

name the first indian woman to be crowned as miss world
Answer: Reita Faria

malcolm in the middle what's their last name
Answer: Wilkerson

when was dont ask dont tell policy created
Answer: February 28 , 1994

who wrote the book are you my mother
Answer: P.D. Eastman

who played nicole in law and order criminal intent
Answer: Olivia Jane d'Abo

who was in the original going in style
Answer: Lee Strasberg

who discovered the most elements on the periodic table
Answer: Albert Ghiorso

who is the current attorney general of ghana
Answer: Miss Gloria Akuffo

when is god of war going to be released
Answer: early 2018

when was in god we trust added to coins
Answer: 1864

where is the goonies supposed to be set
Answer: Astoria , Oregon

alkylating agents such as ethyl methanesulfonate (ems) function as mutagens to
Answer: genetics

",who wrote the first declaration of human rights, Thomas Jefferson,['Cyrus']
6,"who won a million on deal or no deal
Answer: Tomorrow Rodriguez

who is the woman washing the car in cool hand luke
Answer: Joy Harmon

who is the actor that plays ragnar on vikings
Answer: Travis Fimmel

who said it's better to have loved and lost
Answer: Alfred , Lord Tennyson

name the first indian woman to be crowned as miss world
Answer: Reita Faria

malcolm in the middle what's their last name
Answer: Wilkerson

when was dont ask dont tell policy created
Answer: February 28 , 1994

who wrote the book are you my mother
Answer: P.D. Eastman

who played nicole in law and order criminal intent
Answer: Olivia Jane d'Abo

who was in the original going in style
Answer: Lee Strasberg

who discovered the most elements on the periodic table
Answer: Albert Ghiorso

who is the current attorney general of ghana
Answer: Miss Gloria Akuffo

when is god of war going to be released
Answer: early 2018

when was in god we trust added to coins
Answer: 1864

where is the goonies supposed to be set
Answer: Astoria , Oregon

alkylating agents such as ethyl methanesulfonate (ems) function as mutagens to
Answer: genetics

",who is the owner of reading football club, Mike Ashley,"['Yongge Dai', 'Dai Yongge', 'Xiu Li Dai', 'Dai Xiuli']"
7,"who won a million on deal or no deal
Answer: Tomorrow Rodriguez

who is the woman washing the car in cool hand luke
Answer: Joy Harmon

who is the actor that plays ragnar on vikings
Answer: Travis Fimmel

who said it's better to have loved and lost
Answer: Alfred , Lord Tennyson

name the first indian woman to be crowned as miss world
Answer: Reita Faria

malcolm in the middle what's their last name
Answer: Wilkerson

when was dont ask dont tell policy created
Answer: February 28 , 1994

who wrote the book are you my mother
Answer: P.D. Eastman

who played nicole in law and order criminal intent
Answer: Olivia Jane d'Abo

who was in the original going in style
Answer: Lee Strasberg

who discovered the most elements on the periodic table
Answer: Albert Ghiorso

who is the current attorney general of ghana
Answer: Miss Gloria Akuffo

when is god of war going to be released
Answer: early 2018

when was in god we trust added to coins
Answer: 1864

where is the goonies supposed to be set
Answer: Astoria , Oregon

alkylating agents such as ethyl methanesulfonate (ems) function as mutagens to
Answer: genetics

",when is the next scandal episode coming out," October 5, 2017","['February 1 , 2018']"
8,"who won a million on deal or no deal
Answer: Tomorrow Rodriguez

who is the woman washing the car in cool hand luke
Answer: Joy Harmon

who is the actor that plays ragnar on vikings
Answer: Travis Fimmel

who said it's better to have loved and lost
Answer: Alfred , Lord Tennyson

name the first indian woman to be crowned as miss world
Answer: Reita Faria

malcolm in the middle what's their last name
Answer: Wilkerson

when was dont ask dont tell policy created
Answer: February 28 , 1994

who wrote the book are you my mother
Answer: P.D. Eastman

who played nicole in law and order criminal intent
Answer: Olivia Jane d'Abo

who was in the original going in style
Answer: Lee Strasberg

who discovered the most elements on the periodic table
Answer: Albert Ghiorso

who is the current attorney general of ghana
Answer: Miss Gloria Akuffo

when is god of war going to be released
Answer: early 2018

when was in god we trust added to coins
Answer: 1864

where is the goonies supposed to be set
Answer: Astoria , Oregon

alkylating agents such as ethyl methanesulfonate (ems) function as mutagens to
Answer: genetics

",when is the last time the philadelphia won the superbowl, 2017,"['Super Bowl LII ,', '2017']"
9,"who won a million on deal or no deal
Answer: Tomorrow Rodriguez

who is the woman washing the car in cool hand luke
Answer: Joy Harmon

who is the actor that plays ragnar on vikings
Answer: Travis Fimmel

who said it's better to have loved and lost
Answer: Alfred , Lord Tennyson

name the first indian woman to be crowned as miss world
Answer: Reita Faria

malcolm in the middle what's their last name
Answer: Wilkerson

when was dont ask dont tell policy created
Answer: February 28 , 1994

who wrote the book are you my mother
Answer: P.D. Eastman

who played nicole in law and order criminal intent
Answer: Olivia Jane d'Abo

who was in the original going in style
Answer: Lee Strasberg

who discovered the most elements on the periodic table
Answer: Albert Ghiorso

who is the current attorney general of ghana
Answer: Miss Gloria Akuffo

when is god of war going to be released
Answer: early 2018

when was in god we trust added to coins
Answer: 1864

where is the goonies supposed to be set
Answer: Astoria , Oregon

alkylating agents such as ethyl methanesulfonate (ems) function as mutagens to
Answer: genetics

",who was the first lady nominated member of the rajya sabha, Smt. Sucheta Kriplani,['Mary Kom']
